sk_id,target,income,education,occupation_id
109216,0,180000,Higher education,310
109245,0,180000,Higher education,300
109332,0,157500,Secondary / secondary special,300
109339,0,270000,Higher education,310
109341,0,360000,Secondary / secondary special,310
109369,0,270000,Higher education,
109398,0,270000,Higher education,
109442,0,270000,Higher education,310
109444,0,135000,Secondary / secondary special,300
109516,0,180000,Secondary / secondary special,330
109533,0,180000,Higher education,
109609,0,112500,Secondary / secondary special,
109646,0,157500,Secondary / secondary special,
109669,0,180000,Secondary / secondary special,300
109714,0,225000,Higher education,340
109720,0,90000,Higher education,380
109745,0,270000,Higher education,310
109763,0,202500,Secondary / secondary special,
109799,0,225000,Secondary / secondary special,310
109810,0,270000,Higher education,340
109862,0,270000,Secondary / secondary special,300
109867,0,225000,Higher education,310
109902,0,202500,Secondary / secondary special,310
109953,0,135000,Secondary / secondary special,420
109956,0,270000,Secondary / secondary special,300
109957,0,360000,Higher education,340
110051,0,211500,Higher education,370
110057,0,540000,Secondary / secondary special,310
110130,0,135000,Secondary / secondary special,300
110182,0,135000,Secondary / secondary special,
110193,0,315000,Secondary / secondary special,
110203,0,247500,Secondary / secondary special,300
110210,0,135000,Secondary / secondary special,
110222,0,157500,Higher education,330
110259,0,225000,Higher education,300
110281,0,135000,Secondary / secondary special,420
110354,0,202500,Secondary / secondary special,310
110387,0,202500,Higher education,330
110438,0,355500,Secondary / secondary special,300
110453,0,148500,Higher education,
110567,0,360000,Incomplete higher,310
110617,0,112500,Secondary / secondary special,300
110641,1,225000,Secondary / secondary special,
110642,0,157500,Higher education,
110645,0,193500,Higher education,310
110661,0,202500,Higher education,330
110704,1,247500,Secondary / secondary special,300
110707,0,225000,Secondary / secondary special,320
110721,0,254250,Higher education,
110737,0,135000,Incomplete higher,
110786,0,121500,Secondary / secondary special,310
110842,0,76500,Higher education,430
110873,0,315000,Higher education,
110878,0,202500,Secondary / secondary special,330
110896,0,225000,Secondary / secondary special,370
110935,0,270000,Higher education,
110948,0,382500,Secondary / secondary special,360
110966,0,382500,Higher education,340
110987,0,112500,Higher education,300
110996,0,135000,Secondary / secondary special,300
111057,0,121500,Secondary / secondary special,320
111077,0,180000,Secondary / secondary special,
111135,0,292500,Higher education,310
111137,0,225000,Higher education,350
111190,0,135000,Secondary / secondary special,360
111242,0,225000,Secondary / secondary special,300
111257,0,225000,Higher education,
111308,0,67500,Higher education,
111360,0,225000,Higher education,310
111481,0,202500,Secondary / secondary special,300
111526,0,157500,Secondary / secondary special,300
111579,0,135000,Secondary / secondary special,300
111625,0,180000,Secondary / secondary special,300
111674,0,67500,Secondary / secondary special,320
111717,1,112500,Secondary / secondary special,300
111886,0,135000,Secondary / secondary special,340
111931,0,225000,Secondary / secondary special,300
111956,0,360000,Higher education,300
111961,0,247500,Higher education,320
112112,0,180000,Higher education,380
112122,0,135000,Higher education,
112161,0,202500,Higher education,330
112172,0,270000,Secondary / secondary special,350
112209,0,180000,Secondary / secondary special,300
112226,0,216000,Incomplete higher,340
112229,0,540000,Higher education,310
112325,0,202500,Secondary / secondary special,320
112355,0,225000,Secondary / secondary special,300
112382,0,270000,Secondary / secondary special,300
112394,0,110250,Higher education,
112424,0,157500,Higher education,
112522,0,157500,Higher education,330
112534,0,180000,Secondary / secondary special,310
112591,0,135000,Secondary / secondary special,310
112690,0,540000,Higher education,310
112714,0,157500,Secondary / secondary special,310
112739,0,126000,Secondary / secondary special,340
112854,0,202500,Higher education,310
112894,0,1350000,Secondary / secondary special,310
112918,1,180000,Secondary / secondary special,310
112961,0,225000,Secondary / secondary special,310
112993,0,135000,Secondary / secondary special,360
113019,0,180000,Higher education,350
113030,0,468000,Secondary / secondary special,300
113070,0,337500,Higher education,310
113091,0,180000,Secondary / secondary special,330
113178,0,117000,Secondary / secondary special,390
113207,0,225000,Higher education,370
113212,0,270000,Secondary / secondary special,300
113226,0,112500,Secondary / secondary special,300
113233,0,270000,Secondary / secondary special,310
113238,0,225000,Higher education,
113261,0,315000,Secondary / secondary special,340
113277,0,108000,Higher education,
113294,0,180000,Higher education,310
113295,0,450000,Higher education,310
113314,0,81000,Incomplete higher,330
113327,0,450000,Higher education,310
113329,0,225000,Higher education,350
113345,0,157500,Secondary / secondary special,340
113348,0,180000,Secondary / secondary special,310
113357,0,112500,Secondary / secondary special,370
113369,0,180000,Higher education,330
113371,0,225000,Secondary / secondary special,
113423,0,135000,Secondary / secondary special,340
113425,1,270000,Higher education,
113429,0,315000,Secondary / secondary special,300
113461,1,202500,Higher education,330
113463,0,157500,Higher education,450
113465,0,135000,Higher education,
113488,0,139500,Higher education,330
113500,0,225000,Secondary / secondary special,
113513,0,360000,Higher education,310
113525,0,202500,Secondary / secondary special,300
113564,0,225000,Incomplete higher,370
113580,0,108000,Secondary / secondary special,
113596,0,247500,Secondary / secondary special,300
113645,0,225000,Secondary / secondary special,
113666,0,360000,Secondary / secondary special,310
113688,1,67500,Secondary / secondary special,340
113696,0,162000,Secondary / secondary special,320
113743,0,225000,Secondary / secondary special,320
113776,0,270000,Higher education,
113803,0,256500,Secondary / secondary special,
113812,0,225000,Higher education,310
113834,0,576000,Higher education,310
113850,0,157500,Higher education,300
113874,0,360000,Higher education,310
113917,0,67500,Secondary / secondary special,420
113921,0,225000,Higher education,330
113924,0,315000,Secondary / secondary special,300
114061,0,81000,Secondary / secondary special,
114112,0,157500,Higher education,300
114137,0,180000,Secondary / secondary special,300
114188,0,180000,Secondary / secondary special,
114189,0,202500,Secondary / secondary special,340
114233,0,436500,Higher education,310
114276,0,180000,Incomplete higher,
114282,0,180000,Higher education,
114336,0,135000,Secondary / secondary special,380
114341,0,360000,Higher education,310
114377,0,315000,Secondary / secondary special,
114395,0,292500,Secondary / secondary special,
114399,1,157500,Secondary / secondary special,320
114408,0,202500,Higher education,300
114443,0,508500,Higher education,
114452,0,135000,Secondary / secondary special,
114542,0,225000,Higher education,310
114558,0,180000,Secondary / secondary special,320
114573,0,202500,Secondary / secondary special,300
114590,0,202500,Secondary / secondary special,350
114603,0,180000,Higher education,340
114649,0,216000,Higher education,310
114656,0,76500,Secondary / secondary special,340
114660,0,121500,Secondary / secondary special,300
114876,0,135000,Secondary / secondary special,410
114902,0,103500,Secondary / secondary special,340
114932,0,202500,Secondary / secondary special,300
114944,0,270000,Secondary / secondary special,390
114985,0,135000,Secondary / secondary special,320
115004,0,405000,Higher education,310
115061,0,168241.5,Higher education,
115071,0,162000,Secondary / secondary special,
115074,0,135000,Secondary / secondary special,340
115127,0,180000,Secondary / secondary special,300
115167,0,157500,Secondary / secondary special,350
115224,0,225000,Secondary / secondary special,340
115306,0,144000,Secondary / secondary special,300
115377,1,126000,Secondary / secondary special,340
115417,0,270000,Higher education,370
115421,0,202500,Secondary / secondary special,320
115435,0,315000,Incomplete higher,340
115520,0,103500,Secondary / secondary special,360
115573,0,135000,Secondary / secondary special,420
115603,0,171000,Incomplete higher,
115668,0,270000,Secondary / secondary special,360
115712,0,292500,Secondary / secondary special,340
115721,0,202500,Higher education,330
115725,0,157500,Higher education,
115728,0,90000,Secondary / secondary special,310
115737,0,135000,Secondary / secondary special,330
115771,1,126000,Secondary / secondary special,
115794,0,157500,Higher education,310
115870,0,450000,Higher education,310
115920,0,405000,Higher education,
116024,0,157500,Incomplete higher,310
116045,0,225000,Higher education,370
116109,0,360000,Higher education,370
116127,0,144000,Higher education,350
116155,0,225000,Secondary / secondary special,310
116169,0,202500,Secondary / secondary special,360
116188,0,184500,Secondary / secondary special,350
116196,0,270000,Secondary / secondary special,350
116220,0,247500,Secondary / secondary special,300
116230,0,144000,Secondary / secondary special,300
116262,0,112500,Secondary / secondary special,300
116286,0,202500,Secondary / secondary special,360
116388,0,360000,Higher education,370
116409,0,180000,Incomplete higher,
116452,0,157500,Secondary / secondary special,
116456,0,180000,Secondary / secondary special,320
116504,0,585000,Secondary / secondary special,320
116651,0,171000,Secondary / secondary special,300
116690,0,135000,Secondary / secondary special,
116713,0,247500,Secondary / secondary special,340
116738,0,171000,Higher education,370
116750,0,126000,Secondary / secondary special,330
116776,0,171000,Secondary / secondary special,430
116826,0,112500,Higher education,300
116927,0,180000,Incomplete higher,
116963,0,630000,Higher education,340
116969,0,315000,Higher education,
117013,0,225000,Higher education,300
117089,0,427500,Secondary / secondary special,330
117159,0,360000,Higher education,
117283,0,202500,Higher education,
117296,0,157500,Secondary / secondary special,
117297,0,225000,Higher education,
117334,0,396000,Higher education,300
117365,0,135000,Higher education,370
117368,0,157500,Secondary / secondary special,300
117378,0,207000,Higher education,330
117381,0,157500,Secondary / secondary special,
117385,0,135000,Higher education,340
117393,0,225000,Secondary / secondary special,300
117440,1,202500,Higher education,300
117476,0,90000,Secondary / secondary special,310
117575,0,90000,Secondary / secondary special,310
117631,0,360000,Higher education,370
117644,0,675000,Higher education,
117648,0,234000,Secondary / secondary special,460
117650,0,157500,Secondary / secondary special,300
117667,0,247500,Secondary / secondary special,330
117700,0,189000,Secondary / secondary special,420
117719,0,103500,Higher education,
117752,0,337500,Secondary / secondary special,
117754,0,270000,Secondary / secondary special,300
117787,0,270000,Higher education,300
117798,0,184500,Higher education,350
